idEntrada;acessoOnline;statusSaida;paginaSaida;avaliacao.r;dataHoraEntrada;dataHoraSaida;dataHoraErro;tempoAcesso;codigo;erro
12;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 17:59;283.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
13;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;288.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
14;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;253.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
15;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;173.00;500;"""CHAVE PIX INCORRETA"""
16;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:03;454.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
17;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;300.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
18;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:57;4.00;500;"""INTERNAL SERVER ERROR"""
19;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;324.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
20;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;183.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
21;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;112.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
22;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;214.00;500;"""CLIENTE NAO CADASTRADO"""
23;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:57;117.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
24;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;153.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
25;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;165.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
26;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:57;38.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
27;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;341.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
28;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;258.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
29;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;103.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
30;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:02;390.00;500;"""CHAVE PIX INCORRETA"""
31;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;291.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
32;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;205.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
33;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;347.00;500;"""INTERNAL SERVER ERROR"""
34;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;345.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
35;0;100%;0;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;339.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
36;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;323.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
37;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;306.00;500;"""CLIENTE NAO CADASTRADO"""
38;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;233.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
39;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;203.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
40;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;194.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
41;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;157.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
42;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 17:59;215.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
43;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:58;88.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
44;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:04;500.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
45;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;385.00;500;"""CHAVE PIX INCORRETA"""
46;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;105.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
47;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;192.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
48;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;184.00;500;"""INTERNAL SERVER ERROR"""
49;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;334.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
50;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;230.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
51;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;270.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
52;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;237.00;500;"""CLIENTE NAO CADASTRADO"""
53;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;235.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
54;0;100%;0;positiva;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;404.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
55;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 17:59;213.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
56;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;422.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
57;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:57;54.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
58;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;310.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
59;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;255.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
60;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;266.00;500;"""CHAVE PIX INCORRETA"""
61;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;286.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
62;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;180.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
63;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;200.00;500;"""INTERNAL SERVER ERROR"""
64;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:57;118.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
65;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;111.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
66;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;276.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
67;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;294.00;500;"""CLIENTE NAO CADASTRADO"""
68;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;246.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
69;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;351.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
70;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:03;486.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
71;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;181.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
72;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 17:56;18/05/2021 17:56;0.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
73;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:03;361.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
74;0;100%;0;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;155.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
75;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;157.00;500;"""CHAVE PIX INCORRETA"""
76;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;363.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
77;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;206.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
78;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;94.00;500;"""INTERNAL SERVER ERROR"""
79;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;262.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
80;0;100%;0;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;223.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
81;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 17:59;241.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
82;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;286.00;500;"""CLIENTE NAO CADASTRADO"""
83;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;196.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
84;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;317.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
85;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 17:59;214.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
86;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;280.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
87;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:03;372.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
88;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;292.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
89;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;201.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
90;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:03;378.00;500;"""CHAVE PIX INCORRETA"""
91;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;359.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
92;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;306.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
93;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;269.00;500;"""INTERNAL SERVER ERROR"""
94;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;165.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
95;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;403.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
96;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;168.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
97;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:04;502.00;500;"""CLIENTE NAO CADASTRADO"""
98;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;424.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
99;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 17:59;212.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
100;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;117.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
101;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;155.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
102;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;271.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
103;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;210.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
104;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;198.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
105;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;126.00;500;"""CHAVE PIX INCORRETA"""
106;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;235.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
107;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;146.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
108;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:57;40.00;500;"""INTERNAL SERVER ERROR"""
109;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;194.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
110;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;350.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
111;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;171.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
112;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;313.00;500;"""CLIENTE NAO CADASTRADO"""
113;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:56;46.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
114;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;233.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
115;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;302.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
116;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;276.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
117;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;253.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
118;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;163.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
119;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;138.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
120;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;117.00;500;"""CHAVE PIX INCORRETA"""
121;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:01;254.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
122;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;126.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
123;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;181.00;500;"""INTERNAL SERVER ERROR"""
124;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;209.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
125;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:04;461.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
126;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:57;162.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
127;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:01;268.00;500;"""CLIENTE NAO CADASTRADO"""
128;0;100%;0;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;249.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
129;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;125.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
130;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:01;231.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
131;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;413.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
132;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;294.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
133;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;245.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
134;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;189.00;500;"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
135;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 17:57;18/05/2021 17:56;0.00;500;"""CHAVE PIX INCORRETA"""
136;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:03;376.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
137;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:57;65.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
138;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;329.00;500;"""INTERNAL SERVER ERROR"""
139;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:03;469.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
140;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:57;67.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
141;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;324.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
142;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;209.00;500;"""CLIENTE NAO CADASTRADO"""
143;0;100%;0;positiva;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:57;51.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
144;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:57;58.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
145;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:57;48.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
146;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;176.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
147;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:58;65.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
148;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;323.00;550;"""ERRO NA VALIDACAO DE DADOS BASICOS"""
